shortcode;url;likes;comments;tags;
BWAaIRoA-P7;https://instagram.fbru2-1.fna.fbcdn.net/vp/c5778b6ba5ec4397f23885d0ddc399ec/5C01F7C2/t51.2885-15/e35/19534728_388790801522556_2083772609937276928_n.jpg;1087963;4176;sky,outdoor,water,beach,nature,shore,sunset,clouds,promontory,rock,day,sandy;
BV-mVxyBlvv;https://instagram.fbru2-1.fna.fbcdn.net/vp/1a9647a992a0245b6c3ae652804a5013/5BFB7E57/t51.2885-15/e35/19623518_280508059085489_4094393732026073088_n.jpg;875193;3090;water,outdoor,green,sport,sunset,setting;
BWDGG6AguQQ;https://instagram.fbru2-1.fna.fbcdn.net/vp/84e82dd51815f5715a58a67295bc019f/5C367348/t51.2885-15/e35/19624265_471164199903427_3569689581907345408_n.jpg;1248152;5573;;
BWBLF4XjXir;https://instagram.fbru2-1.fna.fbcdn.net/vp/6148e16ca0ed65eeab6cb5d7d4eea1d0/5BF6D174/t51.2885-15/e35/19623258_1730210657018885_4335251095644274688_n.jpg;677627;3956;person;
BV8HeN6Bq_I;https://instagram.fbru2-1.fna.fbcdn.net/vp/8cb4784d38e75471b89be98c145d520e/5C17A72E/t51.2885-15/e35/19533858_865947520220665_292726554075594752_n.jpg;781304;4015;person,indoor;
BWFuOwegpnP;https://instagram.fbru2-1.fna.fbcdn.net/vp/85da082707e1146d472e37cec8770d4f/5BFCDA05/t51.2885-15/e35/19764648_1876140129319784_991834297994313728_n.jpg;1459869;8784;ground,outdoor,person,bird of prey;
BV-VolxBbI4;https://instagram.fbru2-1.fna.fbcdn.net/vp/c506b86e9ce46c752f70dff9828be3d1/5BF8C061/t51.2885-15/e35/19534165_1793243957654572_2797318208544047104_n.jpg;929737;4075;outdoor,person;
BWGx0klDJLn;https://instagram.fbru2-1.fna.fbcdn.net/vp/c275a8650c64f358cac82f3e1d2827c4/5BFAD872/t51.2885-15/e35/19624194_1117290458371956_7867103669236269056_n.jpg;1207565;5716;tree,plant,forest,day;
BWA8S69jcWL;https://instagram.fbru2-1.fna.fbcdn.net/vp/05107e91fbddcceab8825df0663b45bb/5C34B2A8/t51.2885-15/e35/19534451_1437740759619722_2087819946598858752_n.jpg;695414;4120;person,outdoor;
BWAg_TKAFHV;https://instagram.fbru2-1.fna.fbcdn.net/vp/0714e00348f3e47452f340444280e947/5BFB85B8/t51.2885-15/e35/19623292_475866222805864_5200578965885943808_n.jpg;920055;3455;tree,outdoor,bicycle;
BWLzDklD9Fm;https://instagram.fbru2-1.fna.fbcdn.net/vp/22969122a4aaf3392aa6bfb1e39bbc43/5C04E1D7/t51.2885-15/e35/19624436_1400046723410862_3602447293178970112_n.jpg;1020589;28151;painted,colorful,decorated;
BWG59XOD3ev;https://instagram.fbru2-1.fna.fbcdn.net/vp/7b88bcb1d3774c1c4ab4143510d2b471/5C3AADF7/t51.2885-15/e35/19762079_112773046012957_4871230758980681728_n.jpg;828212;3755;sky,reptile,blue;
BWIk7kJjbHO;https://instagram.fbru2-1.fna.fbcdn.net/vp/ef60766c094d5592a1aae62696ea0e5c/5C06929F/t51.2885-15/e35/19623114_1944014699145108_2721430036254031872_n.jpg;799677;6394;plate,table,food,white,fruit,dessert,sliced;
BWNZvZxDyTL;https://instagram.fbru2-1.fna.fbcdn.net/vp/2d7d18f71174b077a97d1d80e802bd49/5C197D78/t51.2885-15/e35/19765195_272208186590305_4283334012006563840_n.jpg;636297;14370;abstract,vector graphics;
BWIOetMgYQn;https://instagram.fbru2-1.fna.fbcdn.net/vp/cb13580e42e8c4abd434931d5af187d2/5BF93F12/t51.2885-15/e35/19623519_137192666859182_2239824684654788608_n.jpg;933780;3985;;
BWLNg4UDIrj;https://instagram.fbru2-1.fna.fbcdn.net/vp/de6b8185e4d569796b8e857043c42709/5BFFD47E/t51.2885-15/e35/19761128_481248185560352_7903951074136948736_n.jpg;610287;6442;person,crowd,outdoor,player,auditorium;
BWOYSYQDCo5;https://instagram.fbru2-1.fna.fbcdn.net/vp/e75fc138f1afc4bf541332f0a6f32264/5C15F450/t51.2885-15/e35/19764472_1586345694718446_4011887281420894208_n.jpg;1339949;14015;plate,decorated,several,arranged,dining table;
BWSi84gAdWI;https://instagram.fbru2-1.fna.fbcdn.net/vp/f6a42001f48aa2ea9316bc4321c15eff/5C376EA1/t51.2885-15/e35/19764424_146566559230793_8354144413617750016_n.jpg;1219036;8952;sky,outdoor,tree;
BWQpkiRhZa5;https://instagram.fbru2-1.fna.fbcdn.net/vp/a04e651319f813f3738aae05c9591d3f/5BF48394/t51.2885-15/e35/19761462_1001608793315560_2685756360016003072_n.jpg;620623;2924;person,ground,outdoor;
BWSb5WIAFk4;https://instagram.fbru2-1.fna.fbcdn.net/vp/9d039b0459313861f62eeb1ccf7b56ff/5C39F6E6/t51.2885-15/e35/19764582_468921493452455_7660225200645996544_n.jpg;1049666;4075;ocean floor;
BWZVVuQDmdL;https://instagram.fbru2-1.fna.fbcdn.net/vp/db820c8ab226800964dcc610dd9a55cd/5C0324D2/t51.2885-15/e35/19955607_455150698185033_4771015324990439424_n.jpg;1133803;6018;building,outdoor,house,garden,stone,surrounded;
BWVHcp-jpOp;https://instagram.fbru2-1.fna.fbcdn.net/vp/4c30ec8f022fc23cfc0ea835842bda4e/5BFFC7A1/t51.2885-15/e35/19931520_1722862207738073_2226569483571429376_n.jpg;1313418;7411;grass,sky,outdoor,field,mammal,lush,highland;
BWbQ_VZDys7;https://instagram.fbru2-1.fna.fbcdn.net/vp/062ff78b84081bda28fa92cb64b8998b/5C00BBCC/t51.2885-15/e35/19932923_1889359144647230_6579060530697207808_n.jpg;950234;3225;wall,red,indoor;
BWYydDwDRmj;https://instagram.fbru2-1.fna.fbcdn.net/vp/edbabb0392763316b4f89413fa23072b/5C00A65D/t51.2885-15/e35/19984333_1820249654955698_1438025050077790208_n.jpg;804556;3781;water,outdoor,sport,water sport,swimming,people;
BWbWxFAj5Az;https://instagram.fbru2-1.fna.fbcdn.net/vp/426a40547c0f1b87fb5818742082b293/5C187727/t51.2885-15/e35/19985177_380982955637592_8823323711865094144_n.jpg;1258218;4616;colorful;
BWYFMUzh05F;https://instagram.fbru2-1.fna.fbcdn.net/vp/05998d738e67c79fffbdc3242ba50869/5C17A87E/t51.2885-15/e35/19932752_1712779182084789_8120682996568162304_n.jpg;803711;3444;person;
BWa6ahMDndd;https://instagram.fbru2-1.fna.fbcdn.net/vp/79b279c3bf2932315d69e84bfba23475/5C054AA9/t51.2885-15/e35/19985952_130478780876696_5411853982043734016_n.jpg;603394;2415;person,man,outdoor,player,sport,baseball;
BWYrAFhj3H_;https://instagram.fbru2-1.fna.fbcdn.net/vp/3c7c25b7b49b6c14b67c2a444a657c45/5BFC58DA/t51.2885-15/e35/19955191_112842516016697_4614172332045369344_n.jpg;892575;3109;aircraft;
BWdOKCqjFZV;https://instagram.fbru2-1.fna.fbcdn.net/vp/9dcc92bd833b277edc825312128ee8da/5BFFE35B/t51.2885-15/e35/19955014_235500043628066_487177938521817088_n.jpg;1073999;5983;person,outdoor,people,group,ride,Ferris wheel;
BWbfPPuDSnq;https://instagram.fbru2-1.fna.fbcdn.net/vp/5222e55a1f83748020d716bb1ea9091c/5C04E040/t51.2885-15/e35/19932992_447808905594861_2485522613854535680_n.jpg;833263;5252;building,silhouette;
BWiU9BPjl-x;https://instagram.fbru2-1.fna.fbcdn.net/vp/2ed6cecdb3eef14d8f12778cd110da78/5C0810EA/t51.2885-15/e35/20065391_1966852310007626_910654919269154816_n.jpg;770509;3883;wall,mammal,different,bunch,several;
BWgXHYmDF0M;https://instagram.fbru2-1.fna.fbcdn.net/vp/8fc1ea34b7311072a0e47f56b5ef53ba/5C0080B8/t51.2885-15/e35/19954942_1561592717245299_3736061866036690944_n.jpg;1324904;8702;different;
BWkdMXwg9jH;https://instagram.fbru2-1.fna.fbcdn.net/vp/021967b6981565a88f4603b3688b5cfc/5C06DFF2/t51.2885-15/e35/20065446_169287046947441_4488974744036573184_n.jpg;1129847;4756;outdoor,woman,person;
BWnIYjKAwuX;https://instagram.fbru2-1.fna.fbcdn.net/vp/f32bf1542348956c805e061ded9eedbd/5C15A0C2/t51.2885-15/e35/19985430_103791660290244_1995761445777702912_n.jpg;766037;5965;person,store;
BWm7F-cgRUJ;https://instagram.fbru2-1.fna.fbcdn.net/vp/e44d09944ff2b9763216e5f0c57b5ef4/5C35E9EF/t51.2885-15/e35/19985566_1477505212288461_1242920645918982144_n.jpg;1440030;6187;flower,plant,indoor;
BWkkKPcgAlo;https://instagram.fbru2-1.fna.fbcdn.net/vp/9528cf4c73bfbe37184680fe09360d63/5BF666D9/t51.2885-15/e35/19765151_1699728063454948_4792056721960861696_n.jpg;1547038;12321;outdoor,sky,ground,sitting,animal,mammal,domestic cat;
BWiot3lDZCR;https://instagram.fbru2-1.fna.fbcdn.net/vp/83c44d75cd69b71c6be056e805db62d9/5C04ECC2/t51.2885-15/e35/19227678_273123409835389_1285890677023965184_n.jpg;881137;3213;tree,grass,outdoor,iPod,compact disk;
BWnBe8lgTIU;https://instagram.fbru2-1.fna.fbcdn.net/vp/4a3753f3d28835b9c90ec4ef6d2e3f55/5BF8ECA6/t51.2885-15/e35/20065951_1920888304856819_3875239856061808640_n.jpg;687317;2496;sky,building,outdoor,ground;
BWd1FSYD4Fz;https://instagram.fbru2-1.fna.fbcdn.net/vp/09b6c1b29b87adc40f5e62b826689c6b/5C007E16/t51.2885-15/e35/19955692_655467544639121_305652575980486656_n.jpg;766199;5975;outdoor,smoke,engine;
BWj8slKgnpa;https://instagram.fbru2-1.fna.fbcdn.net/vp/b3ff649f1494abb0beb60b60fdfb8fc9/5C01C98F/t51.2885-15/e35/19932562_1946790828939817_530884646712377344_n.jpg;1095036;5203;person,woman,outdoor,lady;
BWtYKGWANaZ;https://instagram.fbru2-1.fna.fbcdn.net/vp/d338e49bf846fb7159077905b73ab05b/5C1AE986/t51.2885-15/e35/20067048_104889386850864_3951815188759445504_n.jpg;695337;4296;yellow,black;
BWqzxkjjONC;https://instagram.fbru2-1.fna.fbcdn.net/vp/d0b25887e514d05d2366a962f9188192/5C0A1F16/t51.2885-15/e35/20065650_1432006523542407_7859180957813702656_n.jpg;845715;4000;projectile;
BW2l7HxgtyR;https://instagram.fbru2-1.fna.fbcdn.net/vp/812f7edc878247d97ced99545104a198/5BFF8A72/t51.2885-15/e35/20213813_239546469889074_6574298472822865920_n.jpg;1476405;7504;outdoor,grass,sky,sheep,field,dog;
BW0Xjc6h6U7;https://instagram.fbru2-1.fna.fbcdn.net/vp/408ec08c5f19aec3e4cb71509fdab782/5C3A9F76/t51.2885-15/e35/20225532_2044480069115176_6768286486132424704_n.jpg;601416;5649;wall,clothing,indoor,green,hair,hairpiece;
BW0xnyFD74M;https://instagram.fbru2-1.fna.fbcdn.net/vp/c6d781f6f36e23a7a5507f886ff9bfc2/5C162E5E/t51.2885-15/e35/20214032_117914238743684_5508841980039266304_n.jpg;934140;5307;indoor,domestic cat,cat;
BWyK_esDY9q;https://instagram.fbru2-1.fna.fbcdn.net/vp/4f57d8e7c61f9f7ee1a1fd4a41fe2548/5C18CC6D/t51.2885-15/e35/20181027_248693808968151_8724925195069947904_n.jpg;884016;5654;outdoor,ground,person,stone,curb;
BWtflMbD6Gg;https://instagram.fbru2-1.fna.fbcdn.net/vp/3943988a6e317c263547cf2469379299/5C1A9E59/t51.2885-15/e35/20180796_732097166978046_7400447075864805376_n.jpg;968647;6082;abstract;
BWvMw3ZhhV8;https://instagram.fbru2-1.fna.fbcdn.net/vp/2482500653d4bcb40e75b05acdce8a95/5BFCF408/t51.2885-15/e35/19437007_978050972337732_6962512775637630976_n.jpg;904485;8424;outdoor,ground,person,mammal,animal,camel,people,bovine,crowd;
BWs8pvUhLpl;https://instagram.fbru2-1.fna.fbcdn.net/vp/b60bd89a214f6a183cfcad1e85d4640f/5C15D350/t51.2885-15/e35/20181224_1934603836783115_2731942527056740352_n.jpg;956900;3731;dress,dark,blue,beautiful;
BWtQfgaBne6;https://instagram.fbru2-1.fna.fbcdn.net/vp/5e2662999e7ceb8de7f136cd711d4130/5C15E8EC/t51.2885-15/e35/20067334_459233224446355_1136196974970667008_n.jpg;824792;3496;sky,outdoor,cement,concrete,stone;
BW3AmpLjeCW;https://instagram.fbru2-1.fna.fbcdn.net/vp/9a7b8b963ef1c6a51a6e51dfcd38c69a/5C16BF39/t51.2885-15/e35/20184413_1481289638576178_1338083428842602496_n.jpg;614936;5191;person,outdoor;
BW-_NMqDbk2;https://instagram.fbru2-1.fna.fbcdn.net/vp/cb1833e1c10d1421569704bc0d9a2b17/5C056280/t51.2885-15/e35/20214573_254222535084417_5178421427174375424_n.jpg;943537;4600;outdoor,water,wave,surfing,man,riding,sky,sport,water sport,ocean,male;
BW8JXzkjDeJ;https://instagram.fbru2-1.fna.fbcdn.net/vp/206936e5f465161c037847a29e5adc59/5C061B74/t51.2885-15/e35/20225517_272018736613964_2765247984097558528_n.jpg;733173;5379;group,stage,crowd;
BW-uEFXjRRM;https://instagram.fbru2-1.fna.fbcdn.net/vp/9092d8a880b55ad01568db82a54bf78d/5C16EA1E/t51.2885-15/e35/20213896_203313466867419_4321470705959960576_n.jpg;1385553;11487;person,wearing,head,hair;
